,Expressions,Kulvi,Dogri,Garhwali,Kumaoni,Gaddi,Konkani,Nepali,Kudmali,Bengali,Assamese,Marwari,Punjabi,Oriya,Kashmiri,Marathi,Gujarati,Sindhi,Pahari,Nagpuri,Wagdi,Bajjika,Sanskrit,Panchpargania,Sylheti,Urdu,Halbi,Khortha,Rajbonshi
,This institute contains approximately 1000 students.,-,is sənstʰɑn če ləɡbəɡ ǰɑr sʈuɖenʈ ne,je sənstʰɑn mə ləɡbəɡə həzɑr čʰɑtrə čʰe,i sənstʰɑn me ləɡbʰəɡ həzɑr ʋidjɑrtʰi čʰe,e koleɡ mei ləɡbəɡ jɑr čʰokro rendɑ,hjɑ sə̃st̪ẽt̪ sumɑr 1000 vɪd̪jɑrt̪ɪ ɑsɑt̪,jo sənstʰɑn mə ǰʰənɖəi ek həzɑr ʋidjɑrtʰi əru sən,i sənstʰɑn ʈɑj̃ ɡəʈɑɡəʈi ləʈ čʰəuɑ ɑ:hɑt,eɪ ɪnstɪtute moʈamoʈɪ hɑdʒɑr dʒon čʰɑt̪ro-čʰɑt̪r ɑ:čʰe,,ɪ: ɪnstitut mɛ koɪ həzɑrek ʈɑbər hɛ,e sə̃nst̪ʰɑ ʋɪčč ləɡbəɡ həzɑr ʋɪd̪jɑrt̪ʰɪ hən,eɪ sə̃nst̪ʰɑnɑ re pakʰɑ pakʰɪ həzɑre čʰɑt̪rɑ čʰɑt̪rɪ əčʰənt̪ɪ,,jɑ sə̃nst̪e məd̪ʰe ənd̪ɑže həzɑr ʋɪd̪jɑrt̪ʰɪ əhet̪,ɑ: šə̃nst̪ʰɑ mɑ ləɡbʰəɡ həžɑr ʋɪd̪jɑrt̪ʰijo čʰe,hɪn sənst̪ʰɑn me ɡəɳo kəre həzɑr bɑr ən,is ədɑre ʋič təkribən dʒɑr bəččɑ ɛ,i: sənstʰɑn me moʈɑmoʈi ek həzɑr čʰɑtrə mən həj,-,i sənstʰɑn me ləmsəm ek həzɑr ləikɑ/bəččɑ səb həu,əsmin pɑʈʰsɑle prɑjəh səhəstrəh čʰɑtrɑh sənti,i sənstʰɑn mɑhɑn moʈɑmoʈi hɑzɑr pəɖʰuɑ čʰəuʋɑ ɑhə̃j,ei prot̪iʃʈʰɑno muʈɑmuʈi æx ɑɟɑr ʃɑt̪ro-sɑt̪ri ɑse,is idɑre mẽ təkribən ɑekhɑzɑr təlbɑ hɛ̃,e sənstʰɑn ne ek həzɑr əsən pilɑ mən ɑsot,i sənstʰɑne moʈɑmoʈi həzɑr skulijɑ čʰəuɑ hət,-
,Approximately 35 kilos of rice are in the sack.,-,ləɡbəɡ pɛtti kilo čoɭ boriččə pɛ dene ɛ,ləɡbəɡə pɛ̃tis kil bərɑbər čɑul bore me (rəkʰijɑ) čʰe,ləɡbʰəɡ pɛtis kilo čɑur bori me čʰe,bori mənǰ ləɡbəɡ pɛti kilo čoɭnə,sɑkɑ̃t̪ sumɑr pəst̪ɪs kɪlo t̪ɑ̃d̪uɭ ɑsɑt̪,ǰʰənɖəi bis kilo cɑʋəl bori mə čʰə,mɑʈɑməʈi ʈenen mɑčɑ kilə čɑur bərɑj̃ ɑheik,moʈɑmoʈɪ pɔ̃ɪt̪ɪri:š kɪlo čɑ:l eɪ bɔstae ɑ:čʰe,mɒtɑ:motɪ pɒɪntrɪs  kɪlo sɑʊl monɑkʰɒnot ɑsɛ,koɪ pəntɪs kɪlo čɑvəl mɑjɑ pəɽəjɑ hɛ,ləɡbəɡ pɛ̃t̪ɪ kɪlo čɔɭ bore ʋɪčč hən,pɑkʰɑ pɑkʰɪ pəɪ̃t̪ɪrɪs kɪlo čɑuɭə borɑ re əčʰɪ,ləɡbəɡ čʰɪjə pɑ̃tʃt̪rəh kɪlo t̪omul  bohrɪjə mə̃ǰ,ənd̪ɑže pəst̪ɪs kɪlo t̪ɑnd̪uɽ pot̪jɑ t̪ɑ hɛ,ɑ: koʈʰrɪ mɑ leɡbʰəɡ pɑ̃t̪rɪs kɪlo čokʰɑ,ɪn poʈələ me ɡəɳo kəre pənʈɪje kɪro cɑʋər ən,təkribən pẽti kilo čɑʋəl toɽe ʋič en,moʈɑmoʈi pɛtis kilo čɑur borɑ me həj,ləɡbʰəɡ pɑtri kilo sokɑ bori me hɛ,lemsəm pɛ̃tis kilo čɑur bori me həu,prɑjəh pə̃nčtrĩnʃət kilo tənɖuləm təsmən sjute əsti,moʈɑmoʈi pẽtis kilo cɑur borɑ mɑhɑn ɑhe,muʈɑmuʈi fɔet̪riʃ kilo sɑul bɔst̪ɑt̪ ɑse,thɛle me təkribən pẽtis kilo tʃɑʋəl hɛ̃,borɑ ne kuri dəs tin kilo əsən čɑur ɑse,moʈɑmoʈi pɛttis kilo čɑur borɑẽ ɑho,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aggregatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A group of two girls played.,-,-,dui ləɖki kə dələ/səmuh-lə ɑpəs me mil ke kʰel čʰu,di čeljɑn səmuh me kʰelo,-,d̪on t͡səljɑ̃t͡sɔ ek pə̃ɡəɖ kʰɛɭɭɔ,dui oʈɑ keʈi həruɡo səmuhə le kʰelijo,dənɑ ʈi beʈičʰuɑk ekʈɑ kʰuɽ kʰel-lɑ,d̪uʈo mejer d̪ol kʰello,dʊtɑ sʊɑlɪɛ ɡrʊp hoɪ kʰɛlɪlɛ,do čʰorəjo ro ɟ̌ʰʊnd rəmmɛ,kuriɑ̃ de do ɡrupɑ̃ ne kʰeɖejɑ,d̪uɪ ǰɑɳə ǰʰɪe səmuh ru kʰeɭɪlə,-,d̪on muɭɪ kʰeɭt̪ɑt̪ əhe,be čʰokəɽɪjoe rəmɪ lɪd̪u,bə čʰokrɪjo ɡəɖ rɑnd̪ pɪju kərɪn,do kuɽijɑ̃ nɑ ǰunɖ kʰeɖɖijɑ,dui ɡo čʰorimən kər dəl kʰel-lək,be ʃorijɑnɑ səmuh kʰelʋɑ lɑɡjɑ,du ɡo čʰɔri səb kʰel-ləu,dʋəjoh bɑlikjoh səmɑhɑrəh əkriɖət,dui ʈɑ beʈičʰuɑ ker dəl kʰel-ləj̃,d̪ui mejer d̪ɔl xelse,ləɽkiõ ke do ɡruhũ  ne kʰelɑ,duj ǰən ǰʰən leki mən čo ɡoʈək ɡohɽi kʰel-li,du čʰorijɑne ɡoʈʰ kʰel lə,-
,A group of five girls played.,-,-,pɑ̃č ləɖkijõ səmuh ču kʰɛl čʰu,pɑ̃č čeljɑn səmuh me kʰelo,-,pɑ̃t͡s  t͡səljɑ̃t͡sɔ ek pə̃ɡəɖ kʰɛɭɭɔ,pɑ̃tʃ oʈɑ keʈi həruɡo səmuhə le kʰelijo,ʈenɑ ʈi beʈičʰuɑk ekʈɑ kʰuɽ kʰel-lɑ,pɑ̃čʈɪ mejer d̪ol kʰello,pɑ:stɑ sʊɑlɪɛ ɡrʊp hoɪ kʰɛlɪlɛ,pɑ:nč čʰorəjo ro ɟ̌ʰʊnd rəmmɛ,kuriɑ̃ de pənǰ ɡrupɑ̃ ne kʰeɖejɑ,pɑ̃nčə ǰɑɳə ǰʰɪe səmuh ru kʰeɭɪlə,-,t̪ɪn muɭɪ kʰeɭt̪ɑt̪ əhe,pɑ̃nč čʰokəɽɪjoe rəmɪ lɪd̪u,pənǰ čʰokrɪjo ɡəɖ rɑnd̪ pɪju kərɪn,pənǰ kuɽijɑ̃ nɑ ǰunɖ kʰeɖɖijɑ,pɑč ɡo čʰorimən kər dəl kʰel-lək,pɑč ʃorijɑ nu səmuh kʰelʋɑ lɑɡjo,pɑ̃č ɡo čʰɔri səb kʰel-ləu,pə̃nčɑnɑm bɑlikɑnɑm səmɑhɑrəh əkriɖət,pɑ̃tʃ ʈɑ beʈičʰuɑ ker dəl kʰel-ləj̃,fɑs mejer d̪ɔl xelse,ləɽkiõ ke pɑ̃tʃ ɡruhũ  ne kʰelɑ,pɑ̃č  ǰən ǰʰən leki mən čo ɡoʈək ɡohɽi kʰel-li,pɑ̃č čʰorijɑne ɡoʈʰ kʰel lə,-
,A group of four girls played.,-,-,čɑr ləɖkijõ səmuh ču kʰɛl čʰu,čɑr čeljɑn səmuh me kʰelo,-,cɑr t͡səljɑ̃t͡sɔ ek pə̃ɡəɖ kʰɛɭɭɔ,tʃɑr oʈɑ keʈi həruɡo səmuhə le kʰelijo,čɑrɑ ʈi beʈičʰuɑk ekʈɑ kʰuɽ kʰel-lɑ,čɑrʈɪ mejer d̪ol kʰello,sɑ:rɪtɑ sʊɑlɪɛ ɡrʊp hoɪ kʰɛlɪlɛ,tʃɑr čʰorəjo ro ɟ̌ʰʊnd rəmmɛ,kuriɑ̃ de tʃɑr ɡrupɑ̃ ne kʰeɖejɑ,čɑrɪ ǰɑɳə ǰʰɪe səmuh ru kʰeɭɪlə,-,čɑ:r muɭɪ kʰeɭt̪ɑt̪ əhe,čɑr čʰokəɽɪjoe rəmɪ lɪd̪u,čɑr čʰokrɪjo ɡəɖ rɑnd̪ pɪju kərɪn,čɑr kuɽijɑ̃ nɑ ǰunɖ kʰeɖɖijɑ,čɑir ɡo čʰorimən kər dəl kʰel-lək,ʃɑr ʃorijɑ nu səmuh kʰelʋɑ lɑɡjo,čɑr ɡo čʰɔri səb kʰel-ləu,čəturɳɑm bɑlikɑnɑm səmɑhɑrəh əkriɖət,tʃɑr ʈɑ beʈičʰuɑ ker dəl kʰel-ləj̃,sɑir mejer d̪ɔl xelse,ləɽkiõ ke tʃɑr ɡruhũ  ne kʰelɑ,čɑr ǰən ǰʰən leki mən čo ɡoʈək ɡohɽi kʰel-li,čɑr čʰorijɑne ɡoʈʰ kʰel lə,-
,A group of twelve boys reached.,-,-,bɑrɑ ləɖko ke dəl pəhoččə,bɑr nənɑk/čelɑk səmuh/dəl pəhuč ɡo,-,bɑrɑ t͡səljɑ̃t͡sɔ ek pə̃ɡəɖ pɑvlɔ,bɑro oʈɑ keʈɑ həruɡo səmuhə puɡjo/ ɑi puɡjo,dənɑrə beʈɑčʰəuɑk ənɑʈɑ kʰuɽ pə̃həčlɑ,bɑroʈɪ čʰeler d̪ol poučʰolo,bɑrɒtɑ lɒrɑr ɡrʊp ɛtɑ ɑ:hɪ pɑ:lɛ,bɑrɑ čʰorɑ ro ɟ̌ʰʊnd ɑ:jo,munɖejɑ̃ de bɑrɑ̃ ɡrup põtʃ ɡəe,bɑrə ǰɑɳə pɪlɑ səmuh ru pəhənčɪle,-,bɑrɑ muɭə pohoslɪt̪,ʋɪs čʰokrɑo pəhočjɑ,bɑrɑ čʰokrɑ ɡəɖ  pəhučɪ ʋjɑ,bɑrɑ munɖjɑ nɑ ǰunɖ puǰǰijɑ,bɑrɑ ɡo čʰorɑmən kər dəl pəhuč-lək,bɑrɑ ʃorɑ nu səmuh puɡi ɡijo,bɑrɑ ɡo čʰɔrɑ səb pəhũčləu,dʋɑdəʃɑnɑm bɑlkɑnɑm səmahɑrəh prɑptʋɑn,bɑrɑ ʈɑ beʈɑčʰuɑ ker dəl pəhũčələk,bɑro seler d̪ɔl fousɑise,lərkõ ke bis ɡɑruh pohõtʃ ɡəe,bɑrɑ ǰʰən lekɑ mən čo ɡoʈək ɡohɽi əmrəli,bɑrɑ čʰorɑ ɡoʈʰ pəhučələ,-
,A group of twenty five boys reached.,-,-,pəččis ləɖko ke dəl pəhoččə,pəččis čəl-ɑk səmuh pəhuč ɡo,-,pə̃cvɪs t͡səljɑ̃t͡sɔ ek pə̃ɡəɖ pɑvlɔ,pəccis oʈɑ keʈɑ həruɡo səmuhə puɡjo,kuɽi mɑčɑ beʈɑčʰəuɑk ənɑʈɑ kʰuɽ pə̃həčlɑ,põči:št̪ɪ čʰeler d̪ol poučʰolo,posɪstɑ lɒrɑr ɡrʊp ɛtɑ ɑ:hɪ pɑ:lɛ,pəčɪs čʰorɑ ro ɟ̌ʰʊnd ɑ:jo,munɖejɑ̃ de pənǰi ɡrup põtʃ ɡəe,pəččɪs ǰɑɳə pɪlɑ səmuh ru pəhənčɪle,-,pə̃čʋɪs muɭə pohoslɪt̪,əɡjɑr čʰokrɑo pəhočjɑ,pənǰʋɪjə čʰokrɑ ɡəɖ  pəhučɪ ʋjɑ,pəčči munɖjɑ nɑ ǰunɖ puǰǰijɑ,pəččis ɡo čʰorɑmən kər dəl pəhuč-lək,pəssi ʃorɑ nu səmuh puɡi ɡijo,pəččis ɡo čʰɔrɑ səb pəhũčləu,pə̃nčʋĩnʃjɑh bɑlkɑnɑm səmahɑrəh prɑptʋɑn,pəccis ʈɑ beʈɑčʰuɑ ker dəl pəhũčələk,fociʃ seler d̪ɔl fousɑise,lərkõ ke pətʃis ɡɑruh pohõtʃ ɡəe,pəčis ǰʰən lekɑ mən čo ɡoʈək ɡohɽi əmrəli,pəccis čʰorɑ ɡoʈʰ pəhučələ,-
,A group of twenty boys reached.,-,-,bis ləɖko ke dəl pəhoččə,bis čəl-ɑk səmuh pəhuč ɡo,-,vɪs t͡səljɑ̃t͡sɔ ek pə̃ɡəɖ pɑvlɔ,bis oʈɑ keʈɑ həruɡo səmuhə puɡjo,kuɽi beʈɑčʰəuɑk ənɑʈɑ kʰuɽ pə̃həčlɑ,kurɪʈɪ čʰeler d̪ol poučʰolo,bɪstɑ lɒrɑr ɡrʊp ɛtɑ ɑ:hɪ pɑ:lɛ,bɪ:s čʰorɑ ro ɟ̌ʰʊnd ɑ:jo,munɖejɑ̃ de ʋi ɡrup põtʃ ɡəe,koɖɪe ǰɑɳə pɪlɑ səmuh ru pəhənčɪle,-,ʋɪs muɭə pohoslɪt̪,pənd̪ər čʰokrɑo pəhočjɑ,ʋɪjə čʰokrɑ ɡəɖ  pəhučɪ ʋjɑ,bi munɖjɑ nɑ ǰunɖ puǰǰijɑ,bis ɡo čʰorɑmən kər dəl pəhuč-lək,ʋis ʃorɑ nu səmuh puɡi ɡijo,bis ɡo čʰɔrɑ səb pəhũčləu,ʋĩnʃənjɑh bɑlkɑnɑm səmahɑrəh prɑptʋɑn,bis ʈɑ beʈɑčʰuɑ ker dəl pəhũčələk,biʃ seler d̪ɔl fousɑise,lərkõ ke bis ɡɑruh pohõtʃ ɡəe,bis ǰʰən lekɑ mən čo ɡoʈək ɡohɽi əmrəli,bis čʰorɑ ɡoʈʰ pəhučələ,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Collectives,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A single word comes to mind.,ek səbd dimɑɡən ɑu,ek əkʰər dəmɑɡ cə ɑjɑ,ek səbd mejɑr dim͏ɑɡ me ɑjɑ,ek səbd mere dimɑɡ me ɑe rɔ,ək ləbž ǰəɽɑ dimɑɡ me əijɑ,mnɑ̃t̪ ekut͡s ʃəbd̪ jɛt̪ɑ,eoʈɑ mɑtre səbd mero dimɑɡ me ɑʋəčʰə,ənɑ ʈɑ sɑɽɑ məɡəǰ ɑuleik,ɛkʈɑ sɔbdo mone ɑsčʰe,etɑ hɔpto mur murɔʈ ɑhi se,ek səbd dimɑɡ me ɑʋe,ek səbd jeɖ dimɑɡ če ɑje,səbəd ʈe muɽ/mənn ke əslɑ,əkke ləfəz čʰɘ dimɑɡəs məž eʋɑ̃,mənat ekəts ʃəbdə yeto,mɑrɑ mənn mɑ ek ʃəbd ɑʋjo,-,ek ləfəž dimɑɡ ʋič ɑnɑ,ekkoɡo səbd dimɑɡ me ɖʰuklək,ek ʃəbd mɑrɑ dimɑɡ me ɑ:ʋjo,ekke ɡo səbd dimɑɡ me əʋəčʰəi,məstiske ekmeʋ səbdəh ɑɡəčʰəti,ekʈɑ səbd dimɑɡe ɑlə,æx xotɑi mɑt̪ʰɑt ɑr,ɑek wɑhid ləfz zehən mẽ ɑjɑ hɛ,ɡoʈki səbd bud ne eu ɑj,eɡo səbəd dimɑɡe ɑit,ɛk-ʈɑ ʃɔbdo monot ɑsi če
,Two pair of socks,dui ǰoɖi ǰurɑberi,do ǰərɑbbe de joɖe,dui ǰoɖi moǰɑ,di ǰoɖi ǰurɑb,do ǰurɑbbɑ re ǰoɖe,mejɑ̃cɛ̃ d̪on zɔɖ,dui ǰoɖi moǰɑ,dənɑ kʰuɽ məžɑ,du ǰoɖɑ moǰɑ,ɖuzur mužɑ,do ǰurɑb ri ǰoɖijɑ̃,do ǰoɖe ǰərɑbbɑ̃,ǰuɖe moǰɑ,žə ǰoɖ mož/ǰurɑb,modʒyantʃi dzoɖi,moǰɑ ni be ǰoɖi,bə ǰoɖi moǰɑ,ǰurɑbbɑ ne do ǰoɽe,dui ǰoɖɑ moǰɑ,be ǰoɖi moǰɑ,du ǰoɽi moǰɑ,juɡəldʋəjəm pɑrsiɳtrəm,dui ǰoɖi moǰɑ,dui ɟuɽɑ muɟɑ,dʒurɑbõ ke do dʒoɽe,duj ǰoɖi moǰɑ ɑsot,du ǰoɖɑ moǰɑ,dui ǰoɖɑ muǰɑ
,Pair of socks are lying here,ek ǰoɖi ǰurɑberi okʰe poidisɑ,ǰərɑbbe de joɖe itʰə peje dene,ek ǰodi moǰɑ jəkʰəm poɖije čʰə,ek ǰoɖɑ ǰurɑb ihɑ pəɽi rɔ,ǰurɑbbɑ re ǰoɖe iʈʰe pjure,mẽjɑ̃cɛ̃ d̪on zɔɖ hɑ̃ɡɑ pɖɪllɛ ɑsɑt̪,moǰɑ ko ǰoɖi ihɑ nerə čʰə,ənɑ kʰuɽ məžɑ hĩɑ ɡirəl ɑheik,du ǰoɖɑ moǰɑ ekʰɑne poɽe ɑse,mužɑ ke žur bɑi jəʈe ɑse,ek ǰurɑb ri ǰoɖi əʈʰ pəri e,ǰərɑbbɑ̃ otʰe pəi ɛ,ǰuɖe moǰɑ iʈʰɑne pəɖi čʰe,mož nɑž ǰoɖ čʰɘ jet pemmət,tithe modze pəɖlyet,moǰɑ ni ǰoɖi əijɑ pəɖi čʰe,ek ǰoɖi moǰɑ hitte pjɑ ən,ǰurɑbbɑ ne ǰoɽe itʰe pɛn ɛ,ek ǰoɖɑ moǰɑ hijɑ̃ pəɽəl həj,ek ǰoɖi moǰɑ ɑi pəɽjɑ hɛ̃,moǰɑ ke ǰoɽi hĩjɑ pəɽəl həi,pɑrsiɳtrəjuɡləm ətr əsti,ek ǰoɖi moǰɑ ihɑ̃ ɡirəl ɑhe,æxɟuɽɑ/xojekɟuɽɑ muɟɑ ixɑno fori ruise,dʒurɑbõ ke dʒoɽe jɑhɑ̃ pəɽe hɛ̃,moǰɑ čI ǰoɖi etʰɑ pəɽlise,ek ǰoɖɑ moǰɑ ihɑ̃ pərəl hɛ,ɛʈe moǰɑ ǰoɖɑ mičʰɑ hoe
,I went there dozen of times.,-,mɛ utʰe dərǰəno bɑr ɡəjɑ,mi ʋəkʰət dərǰəno bɑr ɡo,mɛ ʋəhɑ dərǰəno bɑr jɑye re,əũ bəɽi terhi ʋɑri ɡəčʰurɑ tʰu,hɑ̃v tʰə̃j ɖəzən/bɑrɑ fɑvtɪ̃ ɡɛllɛ̃,mote uɑ dərǰəno pəʈək ɡəje čʰu,mə̃ hũɑ dərǰənə dʰɑ̃u hũɑ ɡelə̃,ɑmi okʰɑne ɛk ɖoǰon bɑr ɡečʰiləm,moi tɑte bohut bɑr ɡəi su,hu bəʈʰ kəi bɑr jɑi jo,mɛ utʰe kəi ʋɑri ɡəjɑ ɛ,mui henəke bəhut tʰər ǰɑičʰe,buččut tut dərzənə bɑr ɡumɑ,mi tithe (ʃəmbʰərda/hədzarda) geloy,ho təjɑ ɡʰəɳi ʋəkʰət ɡəjo čʰu,mɑ hutte ələj dəffɑ ʋəjo əjɑ,me utʰe dərǰən ʋɑri ɡəjɑ,mõj huɑ̃ dərǰəno ber jɑ hũ,mũ ije dərǰən ʋəɡət ɡjo,həm uhɑ̃ dərǰəno bɑr ɡelijəi (hə),bəhubɑrəm əhəm tətrə ɡətʋəti/ɡətʋɑn,mõj huɑ̃ beǰɑin dʰɑ̃ʋ ǰɑjɑ,-,mɛ ʋəhɑ̃ dərdʒənõ dəfɑ ɡəjɑ hũ,mə̃j hutɑ kəek dərǰən hɑr ɡele,həm huɑ̃ dərǰəno bɑr ɡelije,mui oʈe ɡečʰinu onek/mɛlɑ bɑr
,I bought half a dozen eggs.,mɛ odʰɑ dərǰən ənɖe lije,mɛ ɑddi dərǰən ənɖe ləi,mil ɑdʰɑ dərǰən ənɖɑ kʰəridi,mɛl ɑdʰo dərǰən ənɖ kʰəridi,me əddɑ dərǰən ənɖe kʰəride tʰije,hɑ̃vɛ̃ ɑrd̪ ɖəzən t̪ɑ̃t̪jɑ̃ vɪkət̪ ɡʰɛt̪lɪ̃,məile ɑdʰɑ dərǰən ənɖɑ kine,mə̃ ɑdʰɑ dərǰən ɑ̃ɽɑ kinlə̃,ɑmi čʰɔ-ʈɑ ɖim kinečʰi,ɑdʰɑ ɖəzən koni kinilu,hu ɑddɑ dərǰən ənɖɑ le rəjo,mɛ əddɑ dərjən ənɖe kʰəride,mui čʰo ʈɑ ɡɑr ɡʰinli,mi kʰerid oɖ dərzən ʈʰur,mi ərdʰa ɖəzən ənɖi gʰetli,me ərdʰɑ ɖəzən inɖɑ kʰəridijɑ,mu ədʰ dərǰən bʰedɑ ʋərtɑ ən,me əddɑ dərǰən ənɖe lite,mõj ɑdʰɑ dərǰən ɑɽɑ kinlo,mɛ̃ əɖdo dərǰən enɖ lɑʋjə̃,həm ɑdʰɑ dərǰən ənɖɑ kʰəridlijəi,əhəm ərdʰəseʈəkəm ənɖəm kritʋəti/kritʋɑn,mõj ɑdʰɑ dərǰən əɖɑ kinlə,ɑmi sɔjʈɑ ɖim kinci,mɛ ɑdhɑ dərǰən ənɖe kʰərid lɑjɑ,mə̃j adʰɑ dərǰən ɡɑr ɡʰenle,həm ɑdʰɑ dərǰən tɑɽɑ kinlije,mui ɑdʰɑ ɖəǰən ɖim kini luŋ
,wait for a couple of minutes,kičʰ minʈ-ri teĩ nihɑɽɑ,do čɑr minʈ vet  kərijɑ̃,kučʰ minʈɑ intzɑr kərɑ,tʰoɖi minəʈələǰi intzɑr kəru,kičʰ menʈ/tʰorɑ der intzɑr kər,d̪on mɪntɑ̃ kʰɑt̪ir rɑv,kei minuʈ,ʈuku/kičʰu ɖə̃ɽek pərkʰe,kojɑk miniʈ ( ǰonno) ɔpekʰɑ kɔro/ kičʰukʰone ǰonno ɔpekʰɑ kɔro,kei miniʈ mɑn rɔ/rɔbɑ,tʰoɽɑ minəʈ ɖik lɛ,tʰoɖi der uɖik lɛ,dui miniʈ əpekʰjɑ kər/kərə,keh minəʈ rikžu,tʰoɖa veɭ tʰamb,tʰoɽɑ səməj mɑʈe rɑh ǰuo/tʰobo,tʰoɽi der bʰijo,kuǰ der ʋɑste intzɑr kər,kučʰ minəʈ tənik intzɑr kərɑ,be minəʈ ʋɑʈ ǰo,tənkɑ minəʈ ke lijə rukɑ,kĩnčit ʃʰəɳəm tisʈʰ,-,dui miniʈ dɑɽɑo,do minʈ intizɑr kəro,kʰinɖik minəʈ kɑǰe ʈɑk,kučʰ minəʈ khɑtir intzɑr kor,kičʰu kʰəne ǰonne dɑrɑɳ
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Num-NPs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LP23,one boy,ek ʃoru,ek muɖɑ,ek ləɖkɑ,ek čəl,əkʰ čʰokro,ek t͡səlɔ,eoʈɑ keʈo,ənɑ ʈɑ beʈɑčʰəuɑ,ækʈɑ/ekʈɪ čʰele,ɛdʒɒn lɒrɑ:,ek čʰoro,ɪkk munɖɑ,ǰəɳə bɑɭəkə,əkʰ ləɖk,ek mulɡɑ,ek čʰokro,ɪkk čʰokro,ek munɖɑ,eɡo čʰorɑ,ek ʃoro,eɡo ləikɑ,ekəh bɑləkəh,ekʈɑ čʰorɑ,æxʈɑ sele,ɑek ləɽkɑ,ɡoʈək lekɑ,eɡo čʰorɑ,ɛk-ʈɑ čɛŋɡrɑ
LP24,two boys,dui ʃoru,do muɖe,dui ləɖkɑ,di čəl,do čʰokro,d̪on t͡səlɛ,duiʈɑ keʈɑ,dənɑ ʈɑ beʈɑčʰəuɑ,d̪uʈo/ d̪uʈɪ čʰele,dʊdʒɒn lɒrɑ:,do čʰorɑ,d̪o munɖe,d̪uɪ ǰəɳə bɑɭəkə,žə ləɖk,d̪on mulə,be čʰokrɑo,bə čʰokrɑ,do munɖe,duiɡo čʰorɑmən,be ʃorə,duɡo ləikɑ,dʋɔ bɑlkɔ,duiʈɑ čʰoa,duiʈɑ sele,do ləɽke,duj ǰʰən lekɑ mən,du-ɡo čʰorɑ,dui-ʈɑ čɛŋɡrɑ
ex-LP23,one sheep,ek bʰeɖ,ek piɖ,ek bʰẽɖič,ek bʰeɽ,əkʰ bɛɽ,ek mɛ̃dɔ,eoʈɑ bʰeɽo,ekʈi bʰeɖi,ækʈɑ/ekʈɪ bʰærɑ,ɛtɑ: bʰɛrɑ:,ek bʰɛɽ,ɪkk peɖ,ɡotɪe menɖʰɑ/ menɖʰɑtɪe,əkʰ kəʈʰ,ek menɖrɪ,ek ɡʰeʈu,ɪkk bʰeɖ,ek peɖ,eɡo bʰeɽ,ek bʰeɖ,eɡo bʰeɽ,ekɑ eɖkɑ,ekʈɑ bʰeɽi,æxʈɑ bʰæɽɑ,ɑek bhɛɽʰ,ɡoʈək menɖi,eɡo bʰeɽɑ,ɛk-ʈɑ bʰɛɽɑ
LP27,five sheep,põnǰ bʰeɖ-ɑ̃,pənǰ piɖɖɑ̃,pɑ̃č bʰẽɖči,pɑ̃č bʰeɽ,pənǰ bɛrɑ,pɑ̃t͡s mɛ̃dɛ,pɑ̃tʃõ ʈɑ bʰeɽɑ əru,mɑčɑʈi bʰeɖi,pɑ̃čʈɑ bʰærɑ,pɑ:stɑ: bʰɛrɑ:,pɑ̃:nč bʰɛɽɑ,pənǰ peɖɖɑ,pãnčə menɖʰɑ,pɑ̃tʃ kəʈʰ,pɑ̃:tʃ menɖrəjɑ,pɑ̃nč ɡʰeʈɑ,pənǰ bʰeɖ,pənǰ peɖɑ,pɑčɡo bʰeɽ,pɑč bʰeɖ,pɑ̃čɡo bʰeɽ,pə̃nč eɖkɑh,pɑ̃tʃʈɑ bʰeɽi,fɑsʈɑ bʰæɽɑ,pɑ̃tʃ bhɛɽẽ,pɑ̃č ʈʰən menɖi,du-ɡo bʰeɽɑ,pɑtʃ-ʈɑ bʰɛɽɑ
ex-LP23,one girl,ek ʃori,ek kuɖi,ek ləɖki,ek čel,əkʰ čʰokre,ek t͡səlɪ,eoʈɑ keʈi,ənɑʈi/ekʈi beʈičʰəuɑ,ækʈɑ meje,ɛdʒɒnɪ sʊɑ:lɪ,ek čʰorɪ,ɪkk kuɖɪ,ǰəɳə ǰʰɪe/ǰʰɪətɪe,əkʰ kuʋər,ek muɭɡɪ,ek čʰokrɪ,ɪkk čʰokrɪ,ek kuɽi,eɡo čʰori,ek ʃori,eɡo čʰəuri,ekɑ bɑlikɑ,ekʈɑ čʰori,æxʈɑ meje,ɑek ləɽki,ɡoʈək leki,eɡo čʰɔri,ɛk-ʈɑ čɛŋɡri
